"","X","Plate","Measure","Row","Col.5","Col.6","Col.7","Blank","Date","ID","Block","Sex","Diet","DOB","Treatment","Weight","Fat.Scores.Dorsal","Fat.Scores.Pelvic","days.since.1st.trt","days.since.2nd.trt","trt.history","1st.trt","2nd.trt","blank.avg","blank.sd","cutoff.new","age.lab","Env","grid","age.wild","repro","body.length.mm","ticks.total","fleas","mites","Testes","H.poly","Pinworms","Cestode","repro.bin","Col.5.bcen","Col.6.bcen","Col.7.bcen","Col.5.avg","Col.6.avg","Col.7.avg","OD.avg","days.since.1st.D.inj","Plate.Env","trt.history2"
"11",11,2,1,"C",2.522,2.22,1.816,0.084,"2018-05-24",44,2,"M","Low","2018-01-19","ST",22.5,3,4,22,1,"DD","D","D",0.069,0.00730948503169488,0.0909284550950846,125,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.453,2.151,1.747,2.446125,2.116125,1.753125,2.105125,22,"2Lab","D"
"12",12,2,1,"D",2.494,2.269,1.923,0.066,"2018-05-19",59,2,"F","Low","2018-02-18","ST",16.5,3,3,17,NA,"D","D","",0.069,0.00730948503169488,0.0909284550950846,90,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.425,2.2,1.854,2.445125,2.177125,1.840125,2.154125,17,"2Lab","D"
"13",13,2,1,"E",0.053,0.058,0.053,0.064,"2018-05-19",42,2,"M","Low","2018-01-19","PC",22,3,4,17,NA,"A","A","",0.069,0.00730948503169488,0.0909284550950846,120,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.016,-0.011,-0.016,-0.013375,-0.009375,-0.012375,-0.0117083333333333,NA,"2Lab","A"
"14",14,2,1,"F",0.055,0.059,0.051,0.067,"2018-05-24",37,2,"M","Low","2018-02-19","PC",26,NA,NA,22,1,"AD","A","D",0.069,0.00730948503169488,0.0909284550950846,94,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.014,-0.01,-0.018,-0.011875,-0.00687500000000001,-0.015375,-0.011375,1,"2Lab","A"
"15",15,2,1,"G",0.104,0.076,0.067,0.063,"2018-05-17",25,1,"F","Low","2018-02-19","PC",21,3,4,17,NA,"A","A","",0.069,0.00730948503169488,0.0909284550950846,87,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.00699999999999999,-0.002,0.036125,0.00862499999999999,0.003125,0.0159583333333333,NA,"2Lab","A"
"16",16,2,1,"H",2.69,2.401,2.033,0.068,"2018-06-06",58,2,"F","Low","2018-02-18","SC",17.5,NA,NA,35,14,"DA","D","A",0.069,0.00730948503169488,0.0909284550950846,108,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.621,2.332,1.964,2.623625,2.332125,1.980125,2.31195833333333,35,"2Lab","DA"
"17",17,3,1,"A",1.614,1.05,0.637,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085875,0.0356868823439169,0.192935647031751,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.528125,0.964125,0.551125,1.5074375,0.9459375,0.5529375,1.00210416666667,NA,"3Lab",NA
"18",18,3,1,"B",1.708,0.962,0.754,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085875,0.0356868823439169,0.192935647031751,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.622125,0.876125,0.668125,1.5804375,0.8749375,0.6654375,1.04027083333333,NA,"3Lab",NA
"19",19,3,1,"C",3.01,2.82,2.469,0.075,"2018-06-04",34,1,"F","High","2018-01-20","SC",17,NA,NA,35,14,"DA","D","A",0.085875,0.0356868823439169,0.192935647031751,135,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.924125,2.734125,2.383125,2.8254375,2.6719375,2.3279375,2.6084375,35,"3Lab","DA"
"20",20,3,1,"D",2.11,1.846,0.885,0.064,"2018-05-24",61,2,"F","Low","2018-02-18","SC",17.5,3,4,22,1,"DA","D","A",0.085875,0.0356868823439169,0.192935647031751,95,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.024125,1.760125,0.799125,1.9964375,1.7309375,0.7889375,1.5054375,22,"3Lab","D"
"21",21,3,1,"E",1.579,1.041,0.615,0.07,"2018-05-16",41,2,"M","Low","2018-01-19","ST",25.5,4,4,14,NA,"D","D","",0.085875,0.0356868823439169,0.192935647031751,117,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.493125,0.955125,0.529125,1.4749375,0.9539375,0.5309375,0.986604166666667,14,"3Lab","D"
"22",22,3,1,"F",1.064,0.662,0.378,0.077,"2018-05-16",72,2,"F","High","2018-02-18","SC",25.5,4,5,14,NA,"D","D","",0.085875,0.0356868823439169,0.192935647031751,87,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.978125,0.576125,0.292125,0.9709375,0.5724375,0.2934375,0.612270833333333,14,"3Lab","D"
"23",23,3,1,"G",1.783,1.365,0.814,0.07,"2018-06-04",21,1,"F","Low","2018-01-19","PC",20,NA,NA,35,14,"AD","A","D",0.085875,0.0356868823439169,0.192935647031751,136,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.697125,1.279125,0.728125,1.6879375,1.2554375,0.7284375,1.2239375,14,"3Lab","AD"
"24",24,3,1,"H",2.215,1.716,1.167,0.084,"2018-05-22",32,1,"F","High","2018-01-29","SC",24.5,4,4,22,1,"DA","D","A",0.085875,0.0356868823439169,0.192935647031751,113,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.129125,1.630125,1.081125,2.1059375,1.6349375,1.0769375,1.6059375,22,"3Lab","D"
"25",25,4,1,"A",1.676,1.131,0.668,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0685,0.0101136400116731,0.0988409200350192,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6075,1.0625,0.5995,1.5813125,1.0408125,0.6078125,1.07664583333333,NA,"4Lab",NA
"26",26,4,1,"B",1.938,1.337,0.815,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0685,0.0101136400116731,0.0988409200350192,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8695,1.2685,0.7465,1.8158125,1.2463125,0.7513125,1.27114583333333,NA,"4Lab",NA
"27",27,4,1,"C",1.362,0.912,0.538,0.061,"2018-06-04",3,1,"M","Low","2018-01-20","PC",23,NA,NA,35,14,"AD","A","D",0.0685,0.0101136400116731,0.0988409200350192,135,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2935,0.8435,0.4695,1.2908125,0.8438125,0.4743125,0.869645833333333,14,"4Lab","AD"
"28",28,4,1,"D",0.053,0.056,0.05,0.066,"2018-05-17",13,1,"M","High","2018-03-07","PC",31.5,4,5,17,NA,"A","A","",0.0685,0.0101136400116731,0.0988409200350192,71,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0155,-0.0125,-0.0185,-0.0176875,-0.0151875,-0.0186875,-0.0171875,NA,"4Lab","A"
"29",29,4,1,"E",0.056,0.054,0.051,0.065,"2018-05-16",69,2,"F","High","2018-02-18","PC",23.5,3,4,14,NA,"A","A","",0.0685,0.0101136400116731,0.0988409200350192,87,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0125,-0.0145,-0.0175,-0.0126875,-0.0151875,-0.0161875,-0.0146875,NA,"4Lab","A"
"30",30,4,1,"F",2.598,2.495,2.63,0.061,"2018-06-04",24,1,"F","Low","2018-02-26","ST",22,NA,NA,35,14,"DD","D","D",0.0685,0.0101136400116731,0.0988409200350192,98,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5295,2.4265,2.5615,2.4918125,2.4283125,2.5378125,2.48597916666667,35,"4Lab","DD"
"31",31,4,1,"G",1.075,0.651,0.38,0.079,"2018-05-14",16,1,"M","High","2018-01-29","SC",21.5,3,4,14,NA,"D","D","",0.0685,0.0101136400116731,0.0988409200350192,105,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0065,0.5825,0.3115,1.0138125,0.5908125,0.3148125,0.6398125,14,"4Lab","D"
"32",32,4,1,"H",0.628,0.379,0.224,0.089,"2018-05-16",52,2,"M","High","2018-01-21","SC",35,4,5,14,NA,"D","D","",0.0685,0.0101136400116731,0.0988409200350192,115,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5595,0.3105,0.1555,0.5653125,0.3033125,0.1568125,0.3418125,14,"4Lab","D"
"33",33,5,1,"A",1.593,1.086,0.617,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0635,0.00682432623571211,0.0839729787071363,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5295,1.0225,0.5535,1.528875,1.005875,0.570875,1.03520833333333,NA,"5Lab",NA
"34",34,5,1,"B",1.707,1.16,0.804,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0635,0.00682432623571211,0.0839729787071363,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6435,1.0965,0.7405,1.564375,1.028375,0.688875,1.093875,NA,"5Lab",NA
"35",35,5,1,"C",2.814,2.692,2.734,0.06,"2018-06-04",27,1,"F","Low","2018-02-19","SC",16.5,NA,NA,35,14,"DA","D","A",0.0635,0.00682432623571211,0.0839729787071363,105,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7505,2.6285,2.6705,2.691875,2.583375,2.612875,2.629375,35,"5Lab","DA"
"36",36,5,1,"D",0.901,0.642,0.361,0.061,"2018-06-06",46,2,"M","High","2018-03-07","PC",21.5,NA,NA,35,14,"AD","A","D",0.0635,0.00682432623571211,0.0839729787071363,91,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8375,0.5785,0.2975,0.777375,0.520875,0.281375,0.526541666666667,14,"5Lab","AD"
"37",37,5,1,"E",0.145,0.11,0.072,0.054,"2018-05-14",11,1,"M","High","2018-02-18","PC",26,4,5,14,NA,"A","A","",0.0635,0.00682432623571211,0.0839729787071363,85,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0815,0.0465,0.00849999999999999,0.039375,0.023875,-0.00312500000000001,0.0200416666666667,NA,"5Lab","A"
"38",38,5,1,"F",0.049,0.06,0.054,0.075,"2018-05-17",3,1,"M","Low","2018-01-20","PC",22,3,4,17,NA,"A","A","",0.0635,0.00682432623571211,0.0839729787071363,117,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0145,-0.0035,-0.0095,-0.006125,-0.006125,-0.007625,-0.006625,NA,"5Lab","A"
"39",39,5,1,"G",1.978,1.491,1.037,0.059,"2018-05-14",35,1,"F","High","2018-02-18","ST",16.5,3,3,14,NA,"D","D","",0.0635,0.00682432623571211,0.0839729787071363,85,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9145,1.4275,0.9735,1.875375,1.429875,0.983875,1.42970833333333,14,"5Lab","D"
"40",40,5,1,"H",1.04,0.638,0.36,0.066,"2018-06-04",4,1,"M","Low","2018-02-18","PC",25,NA,NA,35,14,"AD","A","D",0.0635,0.00682432623571211,0.0839729787071363,106,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9765,0.5745,0.2965,0.958375,0.561375,0.301375,0.607041666666667,14,"5Lab","AD"
"41",41,6,1,"A",2.033,1.499,1.014,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063875,0.00754865172445668,0.0865209551733701,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.969125,1.435125,0.950125,1.99075,1.43825,0.94325,1.45741666666667,NA,"6Lab",NA
"42",42,6,1,"B",1.588,1.058,0.657,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063875,0.00754865172445668,0.0865209551733701,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.524125,0.994125,0.593125,1.51375,0.99025,0.58625,1.03008333333333,NA,"6Lab",NA
"43",43,6,1,"C",1.085,0.695,0.42,0.063,"2018-06-04",11,1,"M","High","2018-02-18","PC",26.5,NA,NA,35,14,"AD","A","D",0.063875,0.00754865172445668,0.0865209551733701,106,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.021125,0.631125,0.356125,1.03125,0.63025,0.36325,0.674916666666667,14,"6Lab","AD"
"44",44,6,1,"D",2.12,1.722,1.238,0.056,"2018-06-06",56,2,"F","Low","2018-02-24","PC",17.5,NA,NA,35,14,"AD","A","D",0.063875,0.00754865172445668,0.0865209551733701,102,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.056125,1.658125,1.174125,2.05725,1.64875,1.18025,1.62875,14,"6Lab","AD"
"45",45,6,1,"E",2.948,2.792,2.533,0.058,"2018-06-06",55,2,"F","Low","2018-02-27","ST",17,NA,NA,35,14,"DD","D","D",0.063875,0.00754865172445668,0.0865209551733701,99,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.884125,2.728125,2.469125,2.92775,2.73725,2.50125,2.72208333333333,35,"6Lab","DD"
"46",46,6,1,"F",1.662,1.207,0.812,0.061,"2018-05-16",38,2,"M","Low","2018-02-19","ST",26,3,5,14,NA,"D","D","",0.063875,0.00754865172445668,0.0865209551733701,86,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.598125,1.143125,0.748125,1.61325,1.16525,0.75475,1.17775,14,"6Lab","D"
"47",47,6,1,"G",0.061,0.073,0.065,0.068,"2018-05-16",37,2,"M","Low","2018-02-19","PC",28,4,5,14,NA,"A","A","",0.063875,0.00754865172445668,0.0865209551733701,86,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002875,0.00912499999999999,0.001125,0.01075,0.01225,0.00575,0.00958333333333333,NA,"6Lab","A"
"48",48,6,1,"H",2.036,1.58,1.102,0.08,"2018-06-06",49,2,"M","High","2018-02-27","PC",21,NA,NA,35,14,"AD","A","D",0.063875,0.00754865172445668,0.0865209551733701,99,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.972125,1.516125,1.038125,1.97425,1.53075,1.05575,1.52025,14,"6Lab","AD"
"49",49,7,1,"A",1.506,0.976,0.61,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070125,0.00617454451761423,0.0886486335528427,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.435875,0.905875,0.539875,1.437625,0.908125,0.527125,0.957625,NA,"7Lab",NA
"50",50,7,1,"B",1.461,0.923,0.574,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070125,0.00617454451761423,0.0886486335528427,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.390875,0.852875,0.503875,1.351125,0.843625,0.491125,0.895291666666667,NA,"7Lab",NA
"51",51,7,1,"C",1.66,1.167,0.737,0.073,"2018-06-04",25,1,"F","Low","2018-02-19","PC",20,NA,NA,35,14,"AD","A","D",0.070125,0.00617454451761423,0.0886486335528427,105,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.589875,1.096875,0.666875,1.573125,1.083125,0.660125,1.10545833333333,14,"7Lab","AD"
"52",52,7,1,"D",0.06,0.06,0.066,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070125,0.00617454451761423,0.0886486335528427,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010125,-0.010125,-0.004125,-0.013375,-0.012375,-0.010875,-0.0122083333333333,NA,"7Lab",NA
"53",53,7,1,"E",1.53,1.107,0.711,0.079,"2018-05-14",6,1,"M","Low","2018-03-07","SC",23.5,4,4,14,NA,"D","D","",0.070125,0.00617454451761423,0.0886486335528427,68,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.459875,1.036875,0.640875,1.465125,1.033125,0.649125,1.049125,14,"7Lab","D"
"54",54,7,1,"F",0.055,0.056,0.056,0.072,"2018-05-16",62,2,"F","Low","2018-02-18","PC",15.5,2,4,14,NA,"A","A","",0.070125,0.00617454451761423,0.0886486335528427,87,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015125,-0.014125,-0.014125,-0.016375,-0.015875,-0.015375,-0.015875,NA,"7Lab","A"
"55",55,7,1,"G",2.766,2.679,2.445,0.071,"2018-06-06",44,2,"M","Low","2018-01-19","ST",23,NA,NA,35,14,"DD","D","D",0.070125,0.00617454451761423,0.0886486335528427,138,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.695875,2.608875,2.374875,2.746625,2.630625,2.383625,2.58695833333333,35,"7Lab","DD"
"56",56,7,1,"H",2.899,2.709,2.348,0.071,"2018-06-06",64,2,"F","High","2018-03-07","SC",NA,NA,NA,35,14,"DA","D","A",0.070125,0.00617454451761423,0.0886486335528427,91,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.828875,2.638875,2.277875,2.809625,2.638125,2.282125,2.576625,35,"7Lab","DA"
"57",57,8,1,"A",1.593,1.043,0.665,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06375,0.00565053726901889,0.0807016118070567,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52925,0.97925,0.60125,1.51675,0.98275,0.61625,1.03858333333333,NA,"8Lab",NA
"58",58,8,1,"B",1.357,0.901,0.568,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06375,0.00565053726901889,0.0807016118070567,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29325,0.83725,0.50425,1.27925,0.83625,0.48475,0.86675,NA,"8Lab",NA
"59",59,8,1,"C",1.727,1.245,0.947,0.059,"2018-06-04",7,1,"M","Low","2018-03-07","SC",25.5,NA,NA,35,14,"DA","D","A",0.06375,0.00565053726901889,0.0807016118070567,89,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66325,1.18125,0.88325,1.61875,1.13975,0.86225,1.20691666666667,35,"8Lab","DA"
"60",60,8,1,"D",1.369,0.94,0.638,0.06,"2018-05-14",19,1,"F","Low","2018-01-20","SC",18.5,3,3,14,NA,"D","D","",0.06375,0.00565053726901889,0.0807016118070567,114,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30525,0.87625,0.57425,1.30225,0.88325,0.57175,0.919083333333333,14,"8Lab","D"
"61",61,8,1,"E",2.7,2.353,2.084,0.071,"2018-06-06",40,2,"M","Low","2018-02-19","SC",24.5,NA,NA,35,14,"DA","D","A",0.06375,0.00565053726901889,0.0807016118070567,107,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63625,2.28925,2.02025,2.61425,2.32625,1.94075,2.29375,35,"8Lab","DA"
"62",62,8,1,"F",1.748,1.314,0.881,0.064,"2018-05-19",65,2,"F","High","2018-02-23","ST",20,3,4,17,NA,"D","D","",0.06375,0.00565053726901889,0.0807016118070567,85,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68425,1.25025,0.81725,1.67625,1.25425,0.79775,1.24275,17,"8Lab","D"
"63",63,8,1,"G",1.959,1.51,1.055,0.058,"2018-05-24",55,2,"F","Low","2018-02-27","ST",16,2,4,22,1,"DD","D","D",0.06375,0.00565053726901889,0.0807016118070567,86,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89525,1.44625,0.99125,1.88525,1.47375,0.99325,1.45075,22,"8Lab","D"
"64",64,8,1,"H",2.746,2.562,2.128,0.059,"2018-06-06",39,2,"M","Low","2018-02-19","SC",29,NA,NA,35,14,"DA","D","A",0.06375,0.00565053726901889,0.0807016118070567,107,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68225,2.49825,2.06425,2.66825,2.46375,2.06575,2.39925,35,"8Lab","DA"
"65",65,9,1,"A",1.533,1.149,0.735,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076625,0.0121295094707082,0.113013528412125,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456375,1.072375,0.658375,1.477875,1.078375,0.658875,1.07170833333333,NA,"9Lab",NA
"66",66,9,1,"B",1.412,0.873,0.549,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076625,0.0121295094707082,0.113013528412125,NA,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.335375,0.796375,0.472375,1.307875,0.790375,0.460375,0.852875,NA,"9Lab",NA
"67",67,9,1,"C",1.823,1.369,0.929,0.064,"2018-06-04",36,1,"F","High","2018-02-18","PC",18.5,NA,NA,35,14,"AD","A","D",0.076625,0.0121295094707082,0.113013528412125,106,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.746375,1.292375,0.852375,1.708875,1.260375,0.842875,1.27070833333333,14,"9Lab","AD"
"68",68,9,1,"D",2.498,2.189,1.762,0.079,"2018-05-22",2,1,"M","Low","2018-01-20","ST",22,4,4,22,1,"DD","D","D",0.076625,0.0121295094707082,0.113013528412125,122,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.421375,2.112375,1.685375,2.358875,2.095375,1.671875,2.04204166666667,22,"9Lab","D"
"69",69,9,1,"E",2.031,1.493,1.013,0.061,"2018-05-17",12,1,"M","High","2018-02-19","ST",21.5,3,3,17,NA,"D","D","",0.076625,0.0121295094707082,0.113013528412125,87,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.954375,1.416375,0.936375,1.927375,1.423875,0.941875,1.43104166666667,17,"9Lab","D"
"70",70,9,1,"F",1.912,1.539,1.081,0.066,"2018-06-04",17,1,"M","High","2018-01-29","ST",35.5,NA,NA,35,14,"DD","D","D",0.076625,0.0121295094707082,0.113013528412125,126,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.835375,1.462375,1.004375,1.886375,1.469375,0.995375,1.450375,35,"9Lab","DD"
