Plate,Measure,Row,Col_5,Col_6,Col_7,Blank,ID,Block,Sex,Diet,DOB,Regimen,Weight,Fat_Scores_Dorsal,Fat_Scores_Pelvic,days_since_1st_trt,days_since_2nd_trt,days_since_1st_D_or_A,days_since_1st_D_inj,vax_history,blank_avg,blank_sd,cutoff_new,age_lab,Env,grid,age_wild,repro,body_length_mm,ticks_total,fleas,mites,Testes,H_poly,Pinworms,Cestode,repro_bin,Col_5_bcen,Col_6_bcen,Col_7_bcen,Col_5_avg,Col_6_avg,Col_7_avg,OD_avg,OD,Fat_Scores_Sum,boost,ishigh,ismale,isrepro,isadult,islab,isvax,isHp,nHp
9,1,G,2.737,2.546,2.354,0.081,9,1,M,Low,,ST,22.0,,,35,14,35,35,DD,0.076625,0.012129509,0.113013528,,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.660375,2.469375,2.277375,2.655875,2.386375,2.308875,2.450375,2.450375,,1,0,1,0,1,1,1,0,0
28,1,H,1.623,1.18,0.775,0.131,9,1,M,Low,,ST,22.0,3.0,4,22,1,22,22,DD,0.11625,0.01454795,0.159893851,,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.50675,1.06375,0.65875,1.5565,1.0765,0.6735,1.102166667,1.102166667,7.0,1,0,1,0,1,1,1,0,0
23,1,G,2.116,1.618,1.215,0.438,10,1,M,High,19/02/2018,SC,19.5,3.0,3,14,,14,14,D,0.4355,0.13659429,0.845282869,84,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.6805,1.1825,0.7795,1.6916875,1.2186875,0.7921875,1.2341875,1.2341875,6.0,0,1,1,0,1,1,1,0,0
28,1,F,1.861,1.614,1.162,0.132,10,1,M,High,19/02/2018,SC,19.5,3.0,3,17,,17,17,D,0.11625,0.01454795,0.159893851,87,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.74475,1.49775,1.04575,1.7915,1.511,1.063,1.455166667,1.455166667,6.0,0,1,1,0,1,1,1,0,0
31,1,F,2.603,2.298,1.92,0.087,10,1,M,High,19/02/2018,SC,23.5,,,35,14,35,35,DA,0.09675,0.026537036,0.176361108,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.50625,2.20125,1.82325,2.5565,2.2195,1.8585,2.2115,2.2115,,0,1,1,0,1,1,1,0,0
32,1,F,2.423,2.039,1.499,0.141,10,1,M,High,19/02/2018,SC,21.0,4.0,5,22,1,22,22,DA,0.11925,0.017685749,0.172307247,92,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.30375,1.91975,1.37975,2.338875,1.896375,1.397375,1.877541667,1.877541667,9.0,0,1,1,0,1,1,1,0,0
5,1,E,0.145,0.11,0.072,0.054,11,1,M,High,18/02/2018,PC,26.0,4.0,5,14,,14,,A,0.0635,0.006824326,0.083972979,85,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.0815,0.0465,0.0085,0.039375,0.023875,-0.003125,0.020041667,0.0,9.0,0,1,1,0,1,1,0,0,0
6,1,C,1.085,0.695,0.42,0.063,11,1,M,High,18/02/2018,PC,26.5,,,35,14,14,14,AD,0.063875,0.007548652,0.086520955,106,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.021125,0.631125,0.356125,1.03125,0.63025,0.36325,0.674916667,0.674916667,,0,1,1,0,1,1,1,0,0
14,1,E,0.058,0.056,0.06,0.07,11,1,M,High,18/02/2018,PC,25.5,4.0,5,22,1,1,1,AD,0.071,0.005554921,0.087664762,93,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.013,-0.015,-0.011,-0.010875,-0.013875,-0.010375,-0.011708333,0.0,9.0,0,1,1,0,1,1,1,0,0
9,1,E,2.031,1.493,1.013,0.061,12,1,M,High,19/02/2018,ST,21.5,3.0,3,17,,17,17,D,0.076625,0.012129509,0.113013528,87,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.954375,1.416375,0.936375,1.927375,1.423875,0.941875,1.431041667,1.431041667,6.0,0,1,1,0,1,1,1,0,0
10,1,H,1.662,1.202,0.769,0.07,12,1,M,High,19/02/2018,ST,21.5,3.0,3,14,,14,14,D,0.07225,0.006341473,0.09127442,84,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.58975,1.12975,0.69675,1.58225,1.14025,0.69775,1.140083333,1.140083333,6.0,0,1,1,0,1,1,1,0,0
33,1,C,3.163,2.819,2.546,0.116,12,1,M,High,19/02/2018,ST,26.5,,,35,14,35,35,DD,0.10625,0.034656477,0.210219432,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,3.05675,2.71275,2.43975,2.98125,2.72525,2.42325,2.709916667,2.709916667,,1,1,1,0,1,1,1,0,0
35,1,D,2.355,1.94,1.382,0.105,12,1,M,High,19/02/2018,ST,23.0,4.0,4,22,1,22,22,DD,0.118125,0.0155236,0.164695799,92,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.236875,1.821875,1.263875,2.2543125,1.8268125,1.2743125,1.785145833,1.785145833,8.0,1,1,1,0,1,1,1,0,0
4,1,D,0.053,0.056,0.05,0.066,13,1,M,High,07/03/2018,PC,31.5,4.0,5,17,,17,,A,0.0685,0.01011364,0.09884092,71,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0155,-0.0125,-0.0185,-0.0176875,-0.0151875,-0.0186875,-0.0171875,0.0,9.0,0,1,1,0,1,1,0,0,0
21,1,H,1.028,0.699,0.436,0.096,13,1,M,High,07/03/2018,PC,34.0,,,35,14,14,14,AD,0.0935,0.007230886,0.115192658,89,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.9345,0.6055,0.3425,0.97775,0.61675,0.35025,0.64825,0.64825,,0,1,1,0,1,1,1,0,0
29,1,E,0.066,0.075,0.077,0.095,13,1,M,High,07/03/2018,PC,31.5,4.0,5,14,,14,,A,0.110375,0.028218219,0.195029656,68,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.044375,-0.035375,-0.033375,-0.033125,-0.027125,-0.024125,-0.028125,0.0,9.0,0,1,1,0,1,1,0,0,0
37,1,D,1.007,0.63,0.398,0.083,14,1,M,High,07/03/2018,ST,21.5,3.0,4,14,,14,14,D,0.107375,0.037450682,0.219727046,68,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.899625,0.522625,0.290625,0.9046875,0.5336875,0.2871875,0.5751875,0.5751875,7.0,0,1,1,0,1,1,1,0,0
13,1,D,2.252,1.862,1.357,0.077,15,1,M,High,20/01/2018,SC,28.5,,,35,14,35,35,DA,0.0785,0.005154748,0.093964244,135,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.1735,1.7835,1.2785,2.1779375,1.8524375,1.2994375,1.776604167,1.776604167,,0,1,1,0,1,1,1,0,0
22,1,C,1.59,1.189,0.977,0.695,15,1,M,High,20/01/2018,SC,26.5,3.0,4,14,,14,14,D,0.659375,0.040305751,0.780292253,114,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.930625,0.529625,0.317625,0.9186875,0.4891875,0.3166875,0.574854167,0.0,7.0,0,1,1,0,1,1,1,0,0
28,1,G,1.353,0.927,0.623,0.119,15,1,M,High,20/01/2018,SC,26.5,3.0,4,17,,17,17,D,0.11625,0.01454795,0.159893851,117,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.23675,0.81075,0.50675,1.278,0.858,0.5255,0.887166667,0.887166667,7.0,0,1,1,0,1,1,1,0,0
4,1,G,1.075,0.651,0.38,0.079,16,1,M,High,29/01/2018,SC,21.5,3.0,4,14,,14,14,D,0.0685,0.01011364,0.09884092,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.0065,0.5825,0.3115,1.0138125,0.5908125,0.3148125,0.6398125,0.6398125,7.0,0,1,1,0,1,1,1,0,0
22,1,F,1.453,1.102,0.886,0.664,16,1,M,High,29/01/2018,SC,21.5,3.0,4,17,,17,17,D,0.659375,0.040305751,0.780292253,108,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.793625,0.442625,0.226625,0.7961875,0.4446875,0.2346875,0.491854167,0.0,7.0,0,1,1,0,1,1,1,0,0
25,1,F,1.504,0.992,0.586,0.134,16,1,M,High,29/01/2018,SC,23.5,,,35,14,35,35,DA,0.10875,0.014801062,0.153153185,126,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.39525,0.88325,0.47725,1.40025,0.86775,0.49675,0.921583333,0.921583333,,0,1,1,0,1,1,1,0,0
9,1,F,1.912,1.539,1.081,0.066,17,1,M,High,29/01/2018,ST,35.5,,,35,14,35,35,DD,0.076625,0.012129509,0.113013528,126,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.835375,1.462375,1.004375,1.886375,1.469375,0.995375,1.450375,1.450375,,1,1,1,0,1,1,1,0,0
25,1,D,0.435,0.291,0.196,0.095,17,1,M,High,29/01/2018,ST,30.0,4.5,5,14,,14,14,D,0.10875,0.014801062,0.153153185,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.32625,0.18225,0.08725,0.31475,0.20475,0.08325,0.200916667,0.200916667,9.5,0,1,1,0,1,1,1,0,0
9,1,H,1.293,0.814,0.517,0.081,18,1,M,High,29/01/2018,PC,24.0,,,35,14,14,14,AD,0.076625,0.012129509,0.113013528,126,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.216375,0.737375,0.440375,1.194875,0.752875,0.457875,0.801875,0.801875,,0,1,1,0,1,1,1,0,0
16,1,C,0.059,0.059,0.056,0.075,18,1,M,High,29/01/2018,PC,22.5,3.0,4,17,,17,,A,0.0745,0.005042675,0.089628025,108,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0155,-0.0155,-0.0185,-0.013875,-0.013875,-0.015875,-0.014541667,0.0,7.0,0,1,1,0,1,1,0,0,0
35,1,G,0.065,0.072,0.072,0.108,18,1,M,High,29/01/2018,PC,22.5,3.0,4,14,,14,,A,0.118125,0.0155236,0.164695799,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.053125,-0.046125,-0.046125,-0.0326875,-0.0271875,-0.0276875,-0.0291875,0.0,7.0,0,1,1,0,1,1,0,0,0
8,1,D,1.369,0.94,0.638,0.06,19,1,F,Low,20/01/2018,SC,18.5,3.0,3,14,,14,14,D,0.06375,0.005650537,0.080701612,114,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.30525,0.87625,0.57425,1.30225,0.88325,0.57175,0.919083333,0.919083333,6.0,0,0,0,0,1,1,1,0,0
20,1,H,2.939,2.833,2.646,0.11,19,1,F,Low,20/01/2018,SC,20.0,,,35,14,35,35,DA,0.12075,0.053742109,0.281976327,135,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.81825,2.71225,2.52525,2.7738125,2.6903125,2.4783125,2.647479167,2.647479167,,0,0,0,0,1,1,1,0,0
23,1,D,2.744,2.223,1.542,0.353,19,1,F,Low,20/01/2018,SC,18.5,3.0,3,17,,17,17,D,0.4355,0.13659429,0.845282869,117,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.3085,1.7875,1.1065,2.2721875,1.7391875,1.1891875,1.733520833,1.733520833,6.0,0,0,0,0,1,1,1,0,0
24,1,H,3.024,2.599,2.861,0.551,19,1,F,Low,20/01/2018,SC,18.5,4.0,3,22,1,22,22,DA,0.5945,0.209919713,1.224259138,122,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.4295,2.0045,2.2665,2.55775,2.03525,2.23975,2.277583333,2.277583333,7.0,0,0,0,0,1,1,1,0,0
13,1,F,2.484,2.396,1.931,0.073,20,1,F,Low,19/01/2018,ST,17.0,3.0,3,14,,14,14,D,0.0785,0.005154748,0.093964244,115,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.4055,2.3175,1.8525,2.4579375,2.3744375,1.8769375,2.2364375,2.2364375,6.0,0,0,0,0,1,1,1,0,0
23,1,E,3.31,3.124,2.817,0.314,20,1,F,Low,19/01/2018,ST,17.0,3.0,4,22,1,22,22,DD,0.4355,0.13659429,0.845282869,123,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.8745,2.6885,2.3815,2.8456875,2.6841875,2.3801875,2.6366875,2.6366875,7.0,1,0,0,0,1,1,1,0,0
23,1,H,3.682,3.587,3.288,0.453,20,1,F,Low,19/01/2018,ST,17.5,,,35,14,35,35,DD,0.4355,0.13659429,0.845282869,136,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,3.2465,3.1515,2.8525,3.1281875,3.0336875,2.7671875,2.976354167,2.976354167,,1,0,0,0,1,1,1,0,0
24,1,E,3.188,2.925,2.718,0.469,20,1,F,Low,19/01/2018,ST,17.0,3.0,3,17,,17,17,D,0.5945,0.209919713,1.224259138,118,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.5935,2.3305,2.1235,2.63225,2.40425,2.16375,2.400083333,2.400083333,6.0,0,0,0,0,1,1,1,0,0
3,1,G,1.783,1.365,0.814,0.07,21,1,F,Low,19/01/2018,PC,20.0,,,35,14,14,14,AD,0.085875,0.035686882,0.192935647,136,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.697125,1.279125,0.728125,1.6879375,1.2554375,0.7284375,1.2239375,1.2239375,,0,0,0,0,1,1,1,0,0
4,1,F,2.598,2.495,2.63,0.061,24,1,F,Low,26/02/2018,ST,22.0,,,35,14,35,35,DD,0.0685,0.01011364,0.09884092,98,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.5295,2.4265,2.5615,2.4918125,2.4283125,2.5378125,2.485979167,2.485979167,,1,0,0,0,1,1,1,0,0
2,1,G,0.104,0.076,0.067,0.063,25,1,F,Low,19/02/2018,PC,21.0,3.0,4,17,,17,,A,0.069,0.007309485,0.090928455,87,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,0.035,0.007,-0.002,0.036125,0.008625,0.003125,0.015958333,0.0,7.0,0,0,0,0,1,1,0,0,0
7,1,C,1.66,1.167,0.737,0.073,25,1,F,Low,19/02/2018,PC,20.0,,,35,14,14,14,AD,0.070125,0.006174545,0.088648634,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.589875,1.096875,0.666875,1.573125,1.083125,0.660125,1.105458333,1.105458333,,0,0,0,0,1,1,1,0,0
20,1,G,0.077,0.085,0.073,0.11,25,1,F,Low,19/02/2018,PC,20.0,3.0,4,22,1,1,1,AD,0.12075,0.053742109,0.281976327,92,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.04375,-0.03575,-0.04775,-0.0316875,-0.0151875,-0.0311875,-0.026020833,0.0,7.0,0,0,0,0,1,1,1,0,0
19,1,C,1.637,1.166,0.723,0.114,26,1,F,Low,19/02/2018,ST,17.5,3.0,4,14,,14,14,D,0.120375,0.011500776,0.154877329,84,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.516625,1.045625,0.602625,1.5130625,1.0235625,0.6295625,1.055395833,1.055395833,7.0,0,0,0,0,1,1,1,0,0
26,1,C,2.477,2.045,1.542,0.114,26,1,F,Low,19/02/2018,ST,17.5,,,35,14,35,35,DD,0.125125,0.026835145,0.205630435,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.351875,1.919875,1.416875,2.3975625,1.9465625,1.4435625,1.929229167,1.929229167,,1,0,0,0,1,1,1,0,0
5,1,C,2.814,2.692,2.734,0.06,27,1,F,Low,19/02/2018,SC,16.5,,,35,14,35,35,DA,0.0635,0.006824326,0.083972979,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.7505,2.6285,2.6705,2.691875,2.583375,2.612875,2.629375,2.629375,,0,0,0,0,1,1,1,0,0
33,1,D,2.466,2.019,1.575,0.097,27,1,F,Low,19/02/2018,SC,16.5,3.0,4,17,,17,17,D,0.10625,0.034656477,0.210219432,87,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.35975,1.91275,1.46875,2.36125,1.97475,1.48075,1.938916667,1.938916667,7.0,0,0,0,0,1,1,1,0,0
16,1,F,0.06,0.06,0.055,0.078,28,1,F,High,19/02/2018,PC,15.5,2.0,3,17,,17,,A,0.0745,0.005042675,0.089628025,87,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.0145,-0.0145,-0.0195,-0.011875,-0.013375,-0.018375,-0.014541667,0.0,5.0,0,1,0,0,1,1,0,0,0
22,1,E,0.58,0.631,0.581,0.58,28,1,F,High,19/02/2018,PC,15.5,2.0,3,14,,14,,A,0.659375,0.040305751,0.780292253,84,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,-0.079375,-0.028375,-0.078375,-0.0743125,-0.0458125,-0.0708125,-0.063645833,0.0,5.0,0,1,0,0,1,1,0,0,0
27,1,D,2.058,1.846,1.355,0.114,28,1,F,High,19/02/2018,PC,16.5,,,35,14,14,14,AD,0.10875,0.015809129,0.156177388,105,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.94925,1.73725,1.24625,1.993375,1.716375,1.250375,1.653375,1.653375,,0,1,0,0,1,1,1,0,0
10,1,E,1.947,1.432,0.945,0.074,29,1,F,High,21/02/2018,SC,27.0,3.0,4,17,,17,17,D,0.07225,0.006341473,0.09127442,85,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,1.87475,1.35975,0.87275,1.88875,1.35775,0.88975,1.37875,1.37875,7.0,0,1,0,0,1,1,1,0,0
22,1,D,3.03,2.956,2.543,0.68,29,1,F,High,21/02/2018,SC,29.0,,,35,14,35,35,DA,0.659375,0.040305751,0.780292253,103,Lab,,,,,0,0,0,0.0,0,0,0,Non-Reproductive,2.370625,2.296625,1.883625,2.4096875,2.2216875,1.8921875,2.174520833,2.174520833,,0,1,0,0,1,1,1,0,0
